BatchSize,LearningRate,NumLayers,HiddenSize,DropoutRate,NumEpochs,SeqLength,PredLength,Optimizer,LossFunction,WeightDecay,Patience,NumParameters,AvgValMSE_Low,StdValMSE_Low,AvgValRMSE_Low,StdValRMSE_Low,AvgValMAE_Low,StdValMAE_Low,AvgValMAPE_Low,StdValMAPE_Low,AvgValR2_Low,StdValR2_Low,AvgValMSE_Open,StdValMSE_Open,AvgValRMSE_Open,StdValRMSE_Open,AvgValMAE_Open,StdValMAE_Open,AvgValMAPE_Open,StdValMAPE_Open,AvgValR2_Open,StdValR2_Open,AvgValMSE_Volume,StdValMSE_Volume,AvgValRMSE_Volume,StdValRMSE_Volume,AvgValMAE_Volume,StdValMAE_Volume,AvgValMAPE_Volume,StdValMAPE_Volume,AvgValR2_Volume,StdValR2_Volume,AvgValMSE_High,StdValMSE_High,AvgValRMSE_High,StdValRMSE_High,AvgValMAE_High,StdValMAE_High,AvgValMAPE_High,StdValMAPE_High,AvgValR2_High,StdValR2_High,AvgValMSE_Adjusted Close,StdValMSE_Adjusted Close,AvgValRMSE_Adjusted Close,StdValRMSE_Adjusted Close,AvgValMAE_Adjusted Close,StdValMAE_Adjusted Close,AvgValMAPE_Adjusted Close,StdValMAPE_Adjusted Close,AvgValR2_Adjusted Close,StdValR2_Adjusted Close,AvgTrainMSE_Low,StdTrainMSE_Low,AvgTrainRMSE_Low,StdTrainRMSE_Low,AvgTrainMAE_Low,StdTrainMAE_Low,AvgTrainMAPE_Low,StdTrainMAPE_Low,AvgTrainR2_Low,StdTrainR2_Low,AvgTrainMSE_Open,StdTrainMSE_Open,AvgTrainRMSE_Open,StdTrainRMSE_Open,AvgTrainMAE_Open,StdTrainMAE_Open,AvgTrainMAPE_Open,StdTrainMAPE_Open,AvgTrainR2_Open,StdTrainR2_Open,AvgTrainMSE_Volume,StdTrainMSE_Volume,AvgTrainRMSE_Volume,StdTrainRMSE_Volume,AvgTrainMAE_Volume,StdTrainMAE_Volume,AvgTrainMAPE_Volume,StdTrainMAPE_Volume,AvgTrainR2_Volume,StdTrainR2_Volume,AvgTrainMSE_High,StdTrainMSE_High,AvgTrainRMSE_High,StdTrainRMSE_High,AvgTrainMAE_High,StdTrainMAE_High,AvgTrainMAPE_High,StdTrainMAPE_High,AvgTrainR2_High,StdTrainR2_High,AvgTrainMSE_Adjusted Close,StdTrainMSE_Adjusted Close,AvgTrainRMSE_Adjusted Close,StdTrainRMSE_Adjusted Close,AvgTrainMAE_Adjusted Close,StdTrainMAE_Adjusted Close,AvgTrainMAPE_Adjusted Close,StdTrainMAPE_Adjusted Close,AvgTrainR2_Adjusted Close,StdTrainR2_Adjusted Close,AvgValMSE_All,StdValMSE_All,AvgValRMSE_All,StdValRMSE_All,AvgValMAE_All,StdValMAE_All,AvgValMAPE_All,StdValMAPE_All,AvgValR2_All,StdValR2_All,AvgTrainTimePerFold,StdTrainTimePerFold,AvgValTimePerFold,StdValTimePerFold,AvgTrainTimePerEpoch,StdTrainTimePerEpoch,AvgValTimePerEpoch,StdValTimePerEpoch,TotalTrainTime,TotalValTime
32,0.001,1,256,0.0,100,30,1,Adam,MSELoss,0.0,10,203269,0.0033486143,0.012463388,0.046847157,0.033969965,0.038788266,0.032094866,4.39430355489721,3.9659395413607066,0.7998386175005597,0.7245149836762292,0.0027468603,0.010163865,0.042530995,0.030626383,0.035095356,0.028894326,3.9812755266846587,3.58979213087311,0.8339521457518525,0.6140103075767642,0.08115225,0.09315907,0.24291188,0.14881557,0.16858089,0.11242545,121.45917719373337,131.34898605027925,0.12112470521963638,0.3904488750974653,0.002953497,0.007984837,0.044640295,0.030995823,0.037070557,0.029061837,4.157747025269898,3.718433981720627,0.8203750624765972,0.4969068482034601,0.0033596605,0.010606897,0.048005573,0.032482687,0.03970717,0.030490607,4.481239210909758,3.868435893465311,0.8002099917320483,0.6137060979699659,0.0044640196,0.014060835,0.047862202,0.046617903,0.039164227,0.042874154,14.129761085338743,19.862821368548918,0.9105016306184365,0.25237738128534193,0.0041460255,0.012540447,0.04552633,0.045534365,0.037223328,0.04166349,13.692125804892123,19.327634511056505,0.9164675736750949,0.22855820224621445,0.46214646,0.14056088,0.67240554,0.10008602,0.39088306,0.09093567,323.17725070181734,229.41518771191542,0.5837041826403462,0.13181654254963437,0.004218685,0.011561145,0.04705311,0.04477376,0.03862318,0.04053115,14.079704748047384,19.02562820539382,0.9141337717524006,0.21545136147273686,0.004403606,0.01320226,0.048037626,0.045782015,0.0393964,0.042005423,14.276002698771634,19.327049515505554,0.9113962650585923,0.24041074024287057,0.018712178,0.026875611,0.08498718,0.055378087,0.06384845,0.04659342,27.694748502298978,29.2983175195398,0.6751001045361388,0.567917422504777,18.644729804992675,17.106118433593156,0.19748373031616212,0.14603737994380672,0.5311888833331246,0.2623977994696498,0.005626317103024562,0.007005716711477808,186.44729804992676,1.974837303161621
64,0.001,1,256,0.0,100,30,1,Adam,MSELoss,0.0,10,203269,0.0052082296,0.018681142,0.05482649,0.046928503,0.045886274,0.045042016,5.148378860486566,5.18450651778577,0.6938815218366465,1.0842949387615126,0.005467426,0.019264583,0.05409752,0.05040719,0.045696978,0.048527803,5.118465622148986,5.4957138403638215,0.6675296562007191,1.1452180071064038,0.0916767,0.11767764,0.2548574,0.16347602,0.18031682,0.13242295,152.66213833723427,154.44840186195228,0.13202288864152548,0.4690354384231104,0.0049644057,0.015364842,0.052483283,0.047009688,0.044200197,0.04483722,4.9169530912812025,5.183358875137491,0.701295535858262,0.9034708187024914,0.0058740834,0.01879161,0.05794042,0.050169628,0.04872759,0.048086036,5.459291094316627,5.452427157608245,0.6471531528070699,1.1273910675312888,0.00703136,0.018553462,0.058965582,0.05961896,0.04738826,0.050583538,17.579849331446415,23.831581833110572,0.8493617161626119,0.3938781529605952,0.0065464606,0.017454829,0.05740479,0.05701886,0.04645013,0.048687335,17.833963950990505,23.508524263390832,0.8586663990881008,0.39366475506288556,0.50058407,0.15329878,0.6996639,0.105140455,0.40413794,0.09818551,334.31963623694656,188.0845834792159,0.5526972978371268,0.13947233657357225,0.0067749484,0.01777184,0.058202475,0.05820155,0.046337616,0.04924838,17.823490105428785,23.796607045650447,0.8524922895244202,0.3889518512379111,0.0070612924,0.018684667,0.060114864,0.058715384,0.048320614,0.05014317,18.423203599621665,24.62230639547441,0.848128910347134,0.41109622120904493,0.022638168,0.037955962,0.09484102,0.0715982,0.07296557,0.063783206,34.66104540109353,35.15288165056952,0.5683765510688447,0.9458820541049615,7.859409999847412,3.5042361575998786,0.14730627536773683,0.051739565935050684,0.2965815094282042,0.1457085335017597,0.005558727372367427,0.007347009046101495,78.59409999847412,1.4730627536773682
128,0.001,1,256,0.0,100,30,1,Adam,MSELoss,0.0,10,203269,0.012186853,0.050198104,0.071199805,0.084364936,0.06284081,0.08272301,6.7611562104328815,8.402104509113785,0.27064515254208815,2.8650255323311153,0.01142868,0.043040555,0.069380715,0.08133263,0.06132703,0.07987426,6.528895799124586,7.984582595198764,0.24956769571078788,2.730667874822132,0.10777027,0.12034832,0.28386116,0.16490342,0.2042711,0.13582337,154.76951951997867,143.75305267885835,-0.19114239859118073,1.6523063115605483,0.012548072,0.05168731,0.07198037,0.08583064,0.06336627,0.084395625,6.67173880111912,8.55825343567489,0.16616105338086573,3.108419348787958,0.012834663,0.052517835,0.07333568,0.08635127,0.06427261,0.08492001,6.882268058649008,8.631137910293429,0.23915316039984696,2.889965311288896,0.008832827,0.027460847,0.061028644,0.0714726,0.04756541,0.056946017,19.539600730590198,30.256480107129264,0.8184250735044994,0.597156857790884,0.008679156,0.026268994,0.060020614,0.07125084,0.04686585,0.05671183,19.600539722520374,31.80684676407712,0.8213116157852431,0.5567461876116924,0.50845736,0.144747,0.70587295,0.10099854,0.41618076,0.09790272,352.72473739541095,178.71532442710898,0.5441942794250824,0.1332467343672346,0.009227621,0.02869424,0.061831266,0.07351541,0.048385505,0.059270263,20.242998658314995,31.823999092030455,0.8107061829787284,0.6099540959167251,0.008667035,0.026991319,0.061042555,0.070291124,0.04759903,0.055840272,19.746194853298906,29.47028133829681,0.8211876968964255,0.5873189054626009,0.03135371,0.06355842,0.11395154,0.100556575,0.091215566,0.093547255,36.32271567786085,35.46582622582785,0.14687693268848162,2.6492768757581304,6.4223140001297,3.185398019682951,0.18389835357666015,0.05471597137474111,0.18615402898926667,0.10245766910068957,0.005330387060193048,0.007052959959768557,64.223140001297,1.8389835357666016
256,0.001,1,256,0.0,100,30,1,Adam,MSELoss,0.0,10,203269,0.018485148,0.066230066,0.083053365,0.10764427,0.074501745,0.10657004,7.879508560122778,11.068587784791468,-0.3084227078020139,4.8858455627769715,0.019047195,0.0690472,0.08169594,0.11123385,0.073499106,0.110106096,7.704689285971901,11.507044980091338,-0.37949828261595514,5.15652340863395,0.12797499,0.15817054,0.30954108,0.17933014,0.22664332,0.16266368,169.7113245130907,145.990713664789,-0.976121225248291,6.622088271750727,0.019612152,0.07330294,0.08284808,0.11290859,0.07458708,0.11194862,7.7537906050533385,11.391068189886361,-0.43926992823310584,5.434564920514004,0.01839657,0.06322752,0.08426681,0.10628111,0.07552669,0.10543239,7.886174754415145,10.683759191723857,-0.34773167460636695,5.133613208002585,0.0061348495,0.019066542,0.05384238,0.05688452,0.04268571,0.048208654,15.292608071358135,18.44809819336219,0.8778033142987937,0.36239868050160295,0.006305009,0.022416221,0.051821344,0.060162757,0.041036025,0.051325437,15.011093295499386,19.695592781743848,0.8739526685345268,0.4224667907001778,0.52655715,0.1494749,0.7185283,0.10136247,0.43004167,0.096384116,368.61519913980015,172.8003024209637,0.5279786657726705,0.13943550392331516,0.006280052,0.022076515,0.052463885,0.059393536,0.041710276,0.05072574,15.138097449377213,19.09445496857731,0.8767861347803182,0.39595760973483385,0.005754812,0.018109621,0.052581422,0.05468095,0.041762274,0.04621664,15.056521633016297,18.583238262484112,0.885165482754335,0.33669299213174914,0.04070321,0.08599565,0.12828104,0.12347959,0.10495158,0.11934416,40.187097543730765,38.12823476225641,-0.4902087637011466,5.4465270743356475,6.103416633605957,2.1919603298703145,0.21390914916992188,0.11577448543490672,0.13533074575622964,0.0758864491116151,0.004742996655652369,0.006948679909578203,61.03416633605957,2.1390914916992188
512,0.001,1,256,0.0,100,30,1,Adam,MSELoss,0.0,10,203269,0.032373544,0.106181644,0.10675996,0.14483047,0.09676839,0.14412063,10.332893277304844,14.985573718867803,-1.2959801881788509,8.653320855492419,0.032930043,0.105245866,0.10807412,0.1457739,0.098288074,0.14495158,10.388077043398463,14.831873530730041,-1.5171725492067374,10.296319067662083,0.1457985,0.16119757,0.3292858,0.1933116,0.24369785,0.17308424,117.57041615767217,104.21755913055972,-1.3946668380911562,6.606709621790229,0.033969734,0.10936186,0.10911569,0.14853787,0.098754674,0.14796087,10.347553870401457,15.522475965291349,-1.668787911428904,11.067952275025137,0.037196245,0.122934766,0.113527134,0.15590972,0.10269051,0.15510985,10.862677390986216,16.00290708314035,-1.67552861217827,10.793206041592228,0.009853901,0.028554097,0.0661521,0.07401215,0.054096024,0.063889414,17.741539149006847,18.02256394960182,0.80180575895757,0.5798838230748273,0.009682999,0.026656143,0.067176625,0.071904786,0.054715633,0.061910067,18.38261233130043,17.72748372293408,0.8055279813973633,0.5502807944726619,0.54405123,0.17634632,0.72827077,0.11693116,0.43534502,0.10660193,360.90006251400763,187.65262649496876,0.5093198667007484,0.16756359363045445,0.0102734165,0.031491425,0.06662308,0.07638574,0.05443931,0.067025386,17.969516710027914,18.31269940674874,0.7953735786336043,0.6391584558217254,0.0107099805,0.031322084,0.06914476,0.07699989,0.05641407,0.066130266,18.58411820246539,18.167200533775613,0.788942651358177,0.6063800891776738,0.056453615,0.12098434,0.15335253,0.1576727,0.1280399,0.15304545,31.90032354795263,33.11207788571785,-1.5104272198167836,9.483501572312418,4.9843825340271,2.8075943190551116,0.20669188499450683,0.1382526157673924,0.11458350652935861,0.07406567516758843,0.004751537586080617,0.007282560905026139,49.843825340270996,2.0669188499450684
